Make,Model,Vehicle Type
FORD,E-350,BUS
FORD,TRANSIT,BUS
DODGE,RAM WAGON,BUS
CHEVROLET,EXPRESS,BUS
MERCEDES-BENZ,SPRINTER,BUS
BLUE BIRD,BB CONVENTIONAL,BUS
CHEVROLET,G-SERIES,BUS
THOMAS BUILT,MVP-ER (ENGINE REAR),BUS
NISSAN,NV,BUS
GMC,SAVANA,BUS
MOTOR COACH INDUSTRIES,TRANSIT BUS,BUS
BLUE BIRD,TC2000,BUS
INTERNATIONAL,3000IC,BUS
FREIGHTLINER,SPRINTER,BUS
GMC,RALLY,BUS
THOMAS BUILT,HDX,BUS
SETRA,S 417,BUS
FORD,E-250,BUS
DODGE,SPRINTER,BUS
BLUE BIRD,ALL AMERICAN / ALL CANADA,BUS
DODGE,DAKOTA,BUS
VAN HOOL,TOURIST COACH,BUS
SETRA,"S 215 HDH, S217 HDH",BUS
IC BUS,PB105,BUS
MOTOR COACH INDUSTRIES,102EL3 INTERCITY/E4500,BUS
VAN HOOL,COMMUTER COACH,BUS
GILLIG,CITY TRANSIT BUS,BUS
MOTOR COACH INDUSTRIES,102D3 INTERCITY/D4000,BUS
IC BUS,PC505,BUS
THOMAS BUILT,BUS,BUS
PREVOST,XL COACH,BUS
DODGE,RAM,BUS
THOMAS BUILT,SAF-T-LINER ER,BUS
PLYMOUTH,VOYAGER,BUS
DINA AUTOBUSES,VIAGGIO,BUS
OPTIMA,LOW FLOOR BUS,BUS
THOMAS BUILT,ER TRANSIT (ENGINE REAR),BUS
THOMAS BUILT,MVP-EF (ENGINE FRONT),BUS
BLUE BIRD,TC1000,BUS
IC BUS,PB205,BUS
IC BUS,PB405,BUS
FORD,ECONOLINE,BUS
BLUE BIRD,COMMERCIAL BUS,BUS
MOTOR COACH INDUSTRIES,102DL3 INTERCITY/D4500,BUS
SETRA,S 417 TC,BUS
THOMAS BUILT,MODEL 3895,BUS
FORD,CLBSW,BUS
GMC,CIV4D,BUS
GMC,PU,BUS
TMC,102C3,BUS
THOMAS BUILT,SAF-T-LINER MVP,BUS
PREVOST,H3 COACH,BUS
INTERNATIONAL,SF667,BUS
ORION BUS,ORION I,BUS
EAGLE COACH CORPORATION,MODEL 15,BUS
VOLVO,9700,BUS
THOMAS BUILT,SCHOOL BUS,BUS
CROWN COACH CORPORATION,2A-36C-426,BUS
IC BUS,PC105,BUS
SETRA,S215,BUS
NEW FLYER,INVERO,BUS
FLXIBLE,METRO,BUS
NEW FLYER,TRANSIT BUS,BUS
COUNTRY COACH,INSPIRE,BUS
MOTOR COACH INDUSTRIES,J4500 INTERCITY,BUS
IC BUS,PB305,BUS
TMC,96A3,BUS
FORD,CLWSW,BUS
NEW FLYER,LOW FLOOR,BUS
GMC,CIV3D,BUS
TEMSA,TS35,BUS
GILLIG,LOW FLOOR BUS,BUS
MOTOR COACH INDUSTRIES,MC-12 INTERCITY,BUS
INTERNATIONAL,RE3000,BUS
GILLIG,CITY SUBURBAN BUS,BUS
FORETRAVEL,"FORETRAVEL, INC.",BUS
MOTOR COACH INDUSTRIES,DIESEL,BUS
DODGE,RAM 2500,BUS
NEW FLYER,PILOT,BUS
FLXIBLE,GFC MODEL 870,BUS
ELDORADO NATIONAL,ESCORT RE,BUS
GMC,C2500,BUS
VOLVO,9-54D,BUS
JIANGXI KAMA BUSINESS BUS CO.,"JIANGXI KAMA BUSINESS BUS CO., LTD.",BUS
SAFARI MOTOR COACHES,B SERIES,BUS
